asset_id,submitter_id,nacc_id,building_doc_number,sub_district,district,province,latest_submitted_date
2623,40,62,"320, 321, 322, 329, 324",คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-12-13
2624,40,62,114172,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-12-13
2625,40,62,23111,นวมินทร์,บึง,กรุงเทพมหานคร,2022-12-13
2626,40,62,"7124, 7125, 7316, 11852, 176836, 176844",,พระโขนง,กรุงเทพมหานคร,2022-12-13
2627,40,62,16157,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-12-13
2628,40,62,114175,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-12-13
2623,80,63,15843,หลักสอง,บางแค,กรุงเทพมหานคร,2022-12-13
2775,41,168,18443,,ดุสิต,กรุงเทพมหานคร,2022-12-29
2818,67,1550,79312,,,,2023-02-24
2832,68,1587,26444,ปรุใหญ่,เมือง,สยาม,2023-04-05
2833,68,1587,"1970, 300",ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,2023-04-05
2623,42,663,"20429, 20430",ปากเกร็ด,ปากเกร็ด,นนทบุรี,2023-06-07
2903,81,1807,110310,คอกกระบือ,เมืองสมุทรสาคร,สมุทรสาคร,2023-06-06
2904,81,1807,2617,หนองแก,หัวหิน,สมุทรสาคร,2023-06-06
2905,81,1807,3055,คลองต้นไทร,คลองสาน,กรุงเทพมหานคร,2023-06-06
2623,75,1702,"1478, 17677, 11276, 17275, 17274, 16921, 17272",ห้วยยอด,ห้วยยอด,ังหวัด,2023-06-12
2624,75,1702,"17248, 17249, 17250",คลองเตย,คลองเตย,ตรัง,2023-06-12
2625,75,1702,960,,ห้วยยอด,ตรัง,2023-06-12
2984,44,292,722,,ท่าอุเทน,นครพนม,2023-06-15
2985,44,292,"11545, 552",ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2986,44,292,556,,ศรีสงคราม,นครพนม,2023-06-15
2987,44,292,2892,ศรีสงคราม,นาแก,นครพนม,2023-06-15
2988,44,292,104,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2989,44,292,104,ศรีสงคราม,ศรีสงคราม,นครพนม,2023-06-15
2990,44,292,104,,,นครพนม,2023-06-15
2999,45,428,114340,,,กรุงเทพมหานคร,2023-06-12
3040,53,907,"85810, 85811, 138773, 171425, 177429, 201659, 220796",บางกระสอ,เมืองนนทบุรี,นนทบุรี,2023-06-27
3111,73,2420,94675,,,,2022-02-10
3112,73,2420,1256,,,กรุงเทพมหานคร,2022-02-10
3113,73,2420,1107,,,กรุงเทพมหานคร,2022-02-10
3114,73,2420,1215,,,กรุงเทพมหานคร,2022-02-10
3115,73,2420,"124791, 204687",,,กรุงเทพมหานคร,2022-02-10
3116,73,2420,23650,,,,2022-02-10
3117,73,2420,13208,,,,2022-02-10
3118,73,2420,65058,,,ำนอง,2022-02-10
3119,73,2420,"3033, 3918",,,,2022-02-10
3120,73,2420,1765,,,,2022-02-10
3121,73,2420,4758,,,,2022-02-10
3121,73,2420,9897,,,,2022-02-10
