asset_id,submitter_id,nacc_id,index,asset_type_id,asset_type_other,asset_name,date_acquiring_type_id,acquiring_date,acquiring_month,acquiring_year,date_ending_type_id,ending_date,ending_month,ending_year,asset_acquisition_type_id,valuation,owner_by_submitter,owner_by_spouse,owner_by_child,latest_submitted_date
2616,40,62,1,36,ตำบลคลองตัน (บางกะปิ,โฉนดที่ดิน,1,26,9,2011,4,,,,6,10080000.0,FALSE,FALSE,TRUE,2022-12-13
2617,40,62,2,36,ตำบลคลองตัน (บางกะปิ,โฉนดที่ดิน,1,,,,4,,,,6,10080000.0,FALSE,FALSE,TRUE,2022-12-13
2618,40,62,3,1,,โฉนดที่ดิน,1,6,7,2012,4,,,,6,10080000.0,FALSE,FALSE,TRUE,2022-12-13
2619,40,62,4,36,ถ.เฉลิมพระเกียรติ ร.9,โฉนดที่ดิน,1,25,3,2005,4,,,,6,1837500.0,FALSE,FALSE,TRUE,2022-12-13
2620,40,62,5,36,ตำบลคลองตัน(บางกะปิฝั่ง,โฉนดที่ดิน,1,,,,4,,,,6,2925000.0,TRUE,FALSE,FALSE,2022-12-13
2621,40,62,6,36,ตำบลคลองตัน (บางกะปิฝั่ง,โฉนดที่ดิน,1,16,10,2018,4,,,,6,104000000.0,FALSE,FALSE,TRUE,2022-12-13
2622,40,62,7,36,(บางกะปิ)กรุงเทพมหานคร,โฉนด,1,10,6,2022,4,,,,6,10640000.0,TRUE,FALSE,FALSE,2022-12-13
2623,40,62,1,12,,เพนท์เฮ้าส์,1,20,12,2010,4,,,,6,16500000.0,TRUE,FALSE,FALSE,2022-12-13
2624,40,62,2,37,ซอยสุขุมวิท 39,"322,",1,6,7,2011,4,,,,6,630000.0,TRUE,FALSE,FALSE,2022-12-13
2625,40,62,3,37,ซอยนวมินทร์111,(พร้อมพงษ์),1,10,10,2013,4,,,,6,2076460.0,TRUE,FALSE,FALSE,2022-12-13
2626,40,62,4,10,,ห้องชุด,1,16,10,2018,4,,,,6,656180.0,FALSE,FALSE,TRUE,2022-12-13
2627,40,62,5,13,,ซอยสุขุมวิท 39,1,10,6,2022,4,,,,6,580440.0,TRUE,FALSE,FALSE,2022-12-13
2628,40,62,1,18,,รถยนต์ Volkswagen Caravelle,1,2,4,2019,4,,,,6,2800000.0,TRUE,FALSE,FALSE,2022-12-13
2629,40,62,2,18,,รถยนต์ Mercedes Benz S400,1,10,10,2014,4,,,,6,5566.0,TRUE,FALSE,FALSE,2022-12-13
2630,40,62,3,18,,รถยนต์ Mercedes Benz,1,1,2,1327,4,,,,6,2280000.0,FALSE,FALSE,TRUE,2022-12-13
2631,40,62,4,18,,รถยนต์ Mercedes Benz,1,11,10,2019,4,,,,6,999.0,TRUE,FALSE,FALSE,2022-12-13
2632,40,62,5,18,,รถยนต์ Lexus,1,24,4,2021,4,,,,6,6655.0,FALSE,FALSE,TRUE,2022-12-13
2633,40,62,1,39,สิทธิ์ในกรมธรรม์ประกันภัย เลขที่,เลขที่ 5055394217 บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน) สิทธิ์ในกรมธรรม์ประกันภัย เลขที่,1,26,6,2008,1,,,,6,245098.88,TRUE,FALSE,FALSE,2022-12-13
2634,40,62,2,39,สิทธิในกรมธรรม์ประกันภัย เลขที่,T142753985 บริษัท เอไอเอ จำกัด สิทธิในกรมธรรม์ประกันภัย เลขที่,1,2,9,2045,1,,,,6,196151.85,TRUE,FALSE,FALSE,2022-12-13
2635,40,62,3,39,สิทธิในกรมธรรม์ประกันภัย เลขที่,T144092495 บริษัท เอไอเอ จำกัด สิทธิในกรมธรรม์ประกันภัย เลขที่,1,,,,1,,,,6,238702.78,TRUE,FALSE,FALSE,2022-12-13
2636,40,62,4,39,สิทธิในกรมธรรม์ประกันภัย,T144092466 บริษัท เอไอเอ จำกัด สิทธิในกรมธรรม์ประกันภัย,1,3,4,2027,1,,,,6,335532.86,TRUE,FALSE,FALSE,2022-12-13
2637,40,62,5,39,กองทุนเพื่อผู้เคยเป็นสมาชิกรัฐสภา,เลขที่ 100001646469 บริษัท เอฟดับบลิวดี ประกันชีวิต จำกัด (มหาชน) กองทุนเพื่อผู้เคยเป็นสมาชิกรัฐสภา,1,,,,1,,,,6,4659813.7,TRUE,FALSE,FALSE,2022-12-13
2638,40,62,6,39,เงินสงเคราะห์ชราภาพมาตรา 33/39,สำนักงานเลขาธิการสภาผู้แทนราษฎร เงินสงเคราะห์ชราภาพมาตรา 33/39,1,16,8,2022,1,,,,6,702000.0,TRUE,FALSE,FALSE,2022-12-13
2639,40,62,7,39,สิทธิในสมาชิก แปซิฟิค คลับ ซิตี้,สำนักงานประกันสังคม สิทธิในสมาชิก แปซิฟิค คลับ ซิตี้,1,,,2019,1,,,,6,110667.0,TRUE,FALSE,FALSE,2022-12-13
2640,40,62,8,39,สิทธิในกรมธรรม์ประกันภัย เลขที่,หมายเลขสมาชิก W0167 สิทธิในกรมธรรม์ประกันภัย เลขที่,1,,,,1,,,,6,480966.88,TRUE,FALSE,FALSE,2022-12-13
2641,40,62,9,39,สิทธิในกรมธรรม์ประกันภัย,T126026146 บริษัท เอไอเอ จำกัด สิทธิในกรมธรรม์ประกันภัย,1,28,9,2007,1,,,,6,290.4,TRUE,FALSE,FALSE,2022-12-13
2642,40,62,10,39,สิทธิในกรมธรรม์ประกันภัย เลขที่ 4403184,เลขที่ T134233497 บริษัท เอไอเอ จำกัด สิทธิในกรมธรรม์ประกันภัย เลขที่ 4403184,1,23,11,2005,1,,,,6,243631.78,FALSE,FALSE,TRUE,2022-12-13
2643,40,62,11,39,บริษัท เอฟดับบลิวดี ประกันชีวิต จำกัด,บริษัท เอฟดับบลิวดี ประกันชีวิต จำกัด,1,19,12,2008,1,,,,6,1964383.56,TRUE,FALSE,FALSE,2022-12-13
2644,40,62,12,39,สิทธิในกรมธรรม์ประกันภัย,บริษัท เอฟดับบลิวดี ประกันชีวิต จำกัด (มหาชน) สิทธิในกรมธรรม์ประกันภัย,1,22,11,2033,1,,,,6,99082.62,TRUE,FALSE,FALSE,2022-12-13
2645,40,62,13,39,เงินสงเคราะห์ชราภาพมาตรา 33/39,เลขที่ 5056599046 บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน) เงินสงเคราะห์ชราภาพมาตรา 33/39,1,30,9,2024,1,,,,6,3658602.74,TRUE,FALSE,FALSE,2022-12-13
2646,40,62,14,39,สิทธิในกรมธรรม์ประกันภัย,สำนักงานประกันสังคม สิทธิในกรมธรรม์ประกันภัย,1,13,9,2022,1,,,,6,123442.78,TRUE,FALSE,FALSE,2022-12-13
2647,40,62,15,39,สิทธิในกรมธรรม์ประกันภัย เลขที่,เลขที่ T154160922 บริษัท เอไอเอ จำกัด สิทธิในกรมธรรม์ประกันภัย เลขที่,1,25,2,2036,1,,,,6,215392.59,FALSE,TRUE,FALSE,2022-12-13
2648,40,62,16,39,สิทธิในกรมธรรม์ประกันภัย,T173893157 บริษัท เอไอเอ จำกัด สิทธิในกรมธรรม์ประกันภัย,1,6,7,2089,1,,,,6,106827.97,FALSE,TRUE,FALSE,2022-12-13
2649,40,62,17,39,สิทธิในกรมธรรม์ประกันภัย,เลขที่ 5053068060 บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน) สิทธิในกรมธรรม์ประกันภัย,1,25,11,2023,1,,,,6,1891309.59,FALSE,FALSE,TRUE,2022-12-13
2650,40,62,18,39,สิทธิในกรมธรรม์ประกันภัย เลขที่ 40481424,เลขที่ T164870325 บริษัท เอไอเอ จำกัด สิทธิในกรมธรรม์ประกันภัย เลขที่ 40481424,1,23,5,2036,1,,,,6,210368.49,FALSE,FALSE,TRUE,2022-12-13
2651,40,62,19,39,สิทธิ์ในกรรมธรรม์ประกันภัย,บริษัท เอฟดับบลิวดี ประกันชีวิต จำกัด (มหาชน) สิทธิ์ในกรรมธรรม์ประกันภัย,1,30,10,2033,1,,,,6,284251.78,FALSE,FALSE,TRUE,2022-12-13
2652,40,62,20,39,(มหาชน),เลขที่ 3009605009 บริษัท อลิอันซ์ อยุธยา ประกันชีวิต จำกัด (มหาชน),1,27,12,2010,1,,,,6,906466.75,FALSE,FALSE,TRUE,2022-12-13
2653,40,62,1,35,หมวดกระเป๋า กระเป๋า Hermes รุ่น Himalayan Birkin,หมวดกระเป๋า กระเป๋า Hermes รุ่น Himalayan Birkin,2,,,,4,,,,6,3100000.0,TRUE,FALSE,FALSE,2022-12-13
2654,40,62,2,35,กระเป๋า Hermes รุ่น Kelly Size 32 สี Electra blue,กระเป๋า Hermes รุ่น Kelly Size 32 สี Electra blue,2,,,,4,,,,6,465900.0,FALSE,FALSE,TRUE,2022-12-13
2655,40,62,3,35,กระเป๋า Hermes รุ่น Kelly Size 32 สี Rose Lipstick,กระเป๋า Hermes รุ่น Kelly Size 32 สี Rose Lipstick,2,,,,4,,,,6,575000.0,TRUE,FALSE,FALSE,2022-12-13
2656,40,62,4,35,กระเป๋า Hermes รุ่น Kelly Size 32 สี Black,กระเป๋า Hermes รุ่น Kelly Size 32 สี Black,2,,,,4,,,,6,496952.0,TRUE,FALSE,FALSE,2022-12-13
2657,40,62,5,35,กระเป๋า Hermes รุ่น Kelly Size 28 สี Natural,กระเป๋า Hermes รุ่น Kelly Size 28 สี Natural,2,,,,4,,,,6,400000.0,FALSE,FALSE,TRUE,2022-12-13
2658,40,62,6,35,กระเป๋า Hermes รุ่น Birkin Size 25 สี Etoupe,กระเป๋า Hermes รุ่น Birkin Size 25 สี Etoupe,2,,,,4,,,,6,400000.0,TRUE,FALSE,FALSE,2022-12-13
2659,40,62,7,35,กระเป๋า Hermes รุ่น Toolbox สีน้ำตาล,กระเป๋า Hermes รุ่น Toolbox สีน้ำตาล,2,,,,4,,,,6,140000.0,TRUE,FALSE,FALSE,2022-12-13
2660,40,62,8,35,กระเป๋า Hermes รุ่น Jypsiere สีน้ำตาล,กระเป๋า Hermes รุ่น Jypsiere สีน้ำตาล,2,,,,4,,,,6,119000.0,TRUE,FALSE,FALSE,2022-12-13
2661,40,62,9,35,กระเป๋า Hermes รุ่น Birkin Size 30 สีเทา,กระเป๋า Hermes รุ่น Birkin Size 30 สีเทา,2,,,,4,,,,6,300000.0,TRUE,FALSE,FALSE,2022-12-13
2662,40,62,10,35,กระเป๋า Hermes รุ่น Kelly Size 32 สีส้ม,กระเป๋า Hermes รุ่น Kelly Size 32 สีส้ม,2,,,,4,,,,6,200000.0,TRUE,FALSE,FALSE,2022-12-13
2663,40,62,11,35,กระเป๋า Hermes รุ่น Lindy สีน้ำเงิน,กระเป๋า Hermes รุ่น Lindy สีน้ำเงิน,2,,,,4,,,,6,170000.0,TRUE,FALSE,FALSE,2022-12-13
2664,40,62,12,35,กระเป๋า Hermes รุ่น Kelly Size 28 สี Indigo Blue,กระเป๋า Hermes รุ่น Kelly Size 28 สี Indigo Blue,2,,,,4,,,,6,359000.0,TRUE,FALSE,FALSE,2022-12-13
2665,40,62,13,35,กระเป๋า Hermes รุ่น Everlyn สีชมพู,กระเป๋า Hermes รุ่น Everlyn สีชมพู,2,,,,4,,,,6,62900.0,FALSE,FALSE,TRUE,2022-12-13
2666,40,62,14,35,กระเป๋า Chanel รุ่น Classic Size Jumbo สี Beige,กระเป๋า Chanel รุ่น Classic Size Jumbo สี Beige,1,,,2011,4,,,,6,190790.0,FALSE,FALSE,TRUE,2022-12-13
2667,40,62,15,35,กระเป๋า Chanel รุ่น Classic Size Jumbo สี Black,กระเป๋า Chanel รุ่น Classic Size Jumbo สี Black,1,,,2009,4,,,,6,190790.0,FALSE,FALSE,TRUE,2022-12-13
2668,40,62,16,35,กระเป๋า Chanel รุ่น Classic Size 10 สี Red,กระเป๋า Chanel รุ่น Classic Size 10 สี Red,1,,,2012,4,,,,6,119650.0,TRUE,FALSE,FALSE,2022-12-13
2669,40,62,17,35,กระเป๋า Chanel รุ่น Reissue สี Champagne,กระเป๋า Chanel รุ่น Reissue สี Champagne,1,,,2013,4,,,,6,179000.0,TRUE,FALSE,FALSE,2022-12-13
